pid,date,dekad,B02,B03,B04,B05,B08,B11,n_clean_scl
48048,2022-01-17,1,512.2222222222222,889.5555555555555,460.8888888888889,1397.111111111111,3513.1111111111113,1513.5555555555557,9
48049,2022-01-17,1,492.6666666666667,717.1111111111111,477.55555555555554,1241.7777777777778,3249.3333333333335,1273.3333333333333,9
48065,2022-01-17,1,474.8888888888889,753.3333333333334,467.0,1128.125,2586.8888888888887,1268.875,8
48083,2022-01-17,1,431.3333333333333,679.6666666666666,399.0,951.3333333333334,2041.0,1128.8333333333333,6
48086,2022-01-17,1,553.0,936.1111111111111,500.6666666666667,1366.888888888889,3885.6666666666665,1417.0,9
48087,2022-01-17,1,629.6666666666666,748.4444444444445,712.5555555555555,1139.6666666666667,3023.222222222222,1741.7777777777778,9
48088,2022-01-17,1,420.75,570.5,710.5,0,1466.75,0,1
48089,2022-01-17,1,510.0,769.4444444444445,722.2222222222222,1311.0,3094.222222222222,1816.2222222222222,9
48090,2022-01-17,1,571.4444444444445,784.7777777777778,721.6666666666666,1409.375,2435.222222222222,1619.0,8
48093,2022-01-17,1,435.3333333333333,661.5555555555555,354.0,1181.5555555555557,3643.3333333333335,1539.2222222222222,9
48096,2022-01-17,1,519.1111111111111,873.0,624.0,1465.7777777777778,3783.0,1591.2222222222222,9
48099,2022-01-17,1,477.3333333333333,653.3333333333334,668.1111111111111,1097.3333333333333,2211.6666666666665,1882.888888888889,9
48107,2022-01-17,1,505.22222222222223,886.0,567.1111111111111,1305.6666666666667,3069.5555555555557,1463.2222222222222,9
48112,2022-01-17,1,389.8888888888889,650.4444444444445,271.55555555555554,1038.7777777777778,5214.555555555556,1507.6666666666667,9
48113,2022-01-17,1,518.4444444444445,730.7777777777778,594.5555555555555,1266.0,3405.1111111111113,1670.2222222222222,9
48115,2022-01-17,1,522.4444444444445,736.8888888888889,599.8888888888889,1203.5555555555557,2736.8888888888887,1714.5555555555557,9
48119,2022-01-17,1,527.5555555555555,963.1111111111111,439.77777777777777,1503.3333333333333,4250.333333333333,1444.111111111111,9
48120,2022-01-17,1,480.1111111111111,673.5555555555555,686.8888888888889,1142.4444444444443,2571.6666666666665,1380.2222222222222,9
48121,2022-01-17,1,558.2222222222222,746.0,560.8888888888889,1086.25,2355.1111111111113,1389.625,8
48122,2022-01-17,1,552.3333333333334,814.0,770.6666666666666,1514.8,2485.0,1453.2,5
48123,2022-01-17,1,370.55555555555554,581.8888888888889,311.77777777777777,978.7777777777778,2615.4444444444443,1270.4444444444443,9
48125,2022-01-17,1,502.22222222222223,713.6666666666666,823.6666666666666,1310.4444444444443,2493.8888888888887,2260.222222222222,9
48133,2022-01-17,1,541.3333333333334,916.2222222222222,490.0,1409.0,3485.6666666666665,1325.2222222222222,9
48144,2022-01-17,1,494.6666666666667,663.7777777777778,640.3333333333334,1260.2222222222222,2680.6666666666665,1627.7777777777778,9
48146,2022-01-17,1,553.7777777777778,680.1111111111111,512.6666666666666,1090.5714285714287,2333.3333333333335,1031.7142857142858,7
48147,2022-01-17,1,559.6666666666666,929.6666666666666,932.5555555555555,1711.6666666666667,3508.1111111111113,2151.1111111111113,9
48149,2022-01-17,1,451.44444444444446,665.8888888888889,682.4444444444445,1262.0,2552.0,1627.0,9
48150,2022-01-17,1,529.6666666666666,860.7777777777778,566.8888888888889,1397.6666666666667,3290.777777777778,1637.0,9
48154,2022-01-17,1,255.16666666666666,227.83333333333334,114.33333333333333,485.8,691.6666666666666,854.0,5
48159,2022-01-17,1,606.5,810.5,825.0,1236.6666666666667,2431.0,1611.5,6
48162,2022-01-17,1,410.8888888888889,533.2222222222222,767.1111111111111,1025.2857142857142,1426.6666666666667,1994.4285714285713,7
48164,2022-01-17,1,506.22222222222223,855.5555555555555,512.7777777777778,1495.6666666666667,3717.6666666666665,1478.6666666666667,9
48174,2022-01-17,1,305.22222222222223,374.44444444444446,226.77777777777777,703.0,3354.3333333333335,1006.5555555555555,9
48179,2022-01-17,1,470.3333333333333,761.5555555555555,397.0,1252.888888888889,4532.444444444444,1607.111111111111,9
48181,2022-01-17,1,486.0,718.5555555555555,602.3333333333334,1142.111111111111,2319.8888888888887,1486.3333333333333,9
48192,2022-01-17,1,453.8888888888889,642.6666666666666,606.8888888888889,1207.7777777777778,2252.6666666666665,1631.6666666666667,9
48193,2022-01-17,1,603.2222222222222,827.0,757.8888888888889,1357.25,2364.5555555555557,1984.0,8
48194,2022-01-17,1,447.8888888888889,581.7777777777778,435.55555555555554,853.2222222222222,2543.222222222222,1163.888888888889,9
48198,2022-01-17,1,752.3333333333334,1196.0,1712.0,2248.6666666666665,3071.0,1739.6666666666667,3
48203,2022-01-17,1,509.8,744.8,486.0,938.0,3410.4,1069.875,8
48205,2022-01-17,1,454.0,690.6666666666666,589.4444444444445,1260.5555555555557,2992.4444444444443,1115.4444444444443,9
48206,2022-01-17,1,344.8888888888889,524.5555555555555,304.77777777777777,899.3333333333334,2411.4444444444443,1075.3333333333333,9
48207,2022-01-17,1,440.6666666666667,617.7777777777778,567.7777777777778,1008.5555555555555,2697.8888888888887,1523.3333333333333,9
48211,2022-01-17,1,510.8888888888889,710.7777777777778,315.6666666666667,1045.888888888889,4101.666666666667,1218.7777777777778,9
48212,2022-01-17,1,430.77777777777777,529.3333333333334,385.55555555555554,1038.2222222222222,2071.3333333333335,1460.7777777777778,9
48213,2022-01-17,1,537.3333333333334,824.8888888888889,543.0,1357.3333333333333,3274.8888888888887,1619.7777777777778,9
48219,2022-01-17,1,539.1428571428571,769.1428571428571,726.0,1287.1666666666667,2845.714285714286,1807.5,6
48221,2022-01-17,1,380.375,467.125,468.5,793.8333333333334,1636.125,1189.0,6
48228,2022-01-17,1,492.6666666666667,848.0,570.3333333333334,1440.7777777777778,3107.4444444444443,1632.0,9
48231,2022-01-17,1,544.6666666666666,733.5555555555555,700.3333333333334,1251.5,2442.5555555555557,1607.25,8
48237,2022-01-17,1,342.55555555555554,662.3333333333334,251.22222222222223,992.4444444444445,4406.0,1505.4444444444443,9
48244,2022-01-17,1,479.3333333333333,955.7777777777778,376.77777777777777,1574.3333333333333,4816.666666666667,1732.2222222222222,9
48247,2022-01-17,1,219.33333333333334,209.44444444444446,95.88888888888889,361.44444444444446,2870.3333333333335,494.6666666666667,9
48248,2022-01-17,1,425.3333333333333,685.6666666666666,415.77777777777777,1239.5555555555557,4217.888888888889,1557.2222222222222,9
48251,2022-01-17,1,451.0,521.5,490.0,786.0,2268.0,1233.0,3
48252,2022-01-17,1,531.8888888888889,837.5555555555555,376.0,1300.6666666666667,4969.222222222223,1427.888888888889,9
48253,2022-01-17,1,457.55555555555554,635.8888888888889,456.1111111111111,1148.6666666666667,2782.4444444444443,1168.111111111111,9
48255,2022-01-17,1,509.8888888888889,1156.888888888889,433.77777777777777,1761.3333333333333,4471.333333333333,2290.1111111111113,9
48256,2022-01-17,1,355.22222222222223,461.0,312.3333333333333,758.1111111111111,3314.4444444444443,893.4444444444445,9
48274,2022-01-17,1,450.3333333333333,695.4444444444445,541.5555555555555,1102.7777777777778,2541.6666666666665,1630.888888888889,9
48278,2022-01-17,1,477.0,729.125,740.625,1289.75,2342.5,1371.25,8
48279,2022-01-17,1,518.1111111111111,735.3333333333334,744.1111111111111,1419.111111111111,3286.6666666666665,1863.4444444444443,9
48281,2022-01-17,1,380.44444444444446,662.4444444444445,332.3333333333333,1128.0,4184.888888888889,1516.3333333333333,9
48282,2022-01-17,1,443.3333333333333,688.0,611.1111111111111,1218.888888888889,2507.8888888888887,1342.4444444444443,9
48283,2022-01-17,1,553.6666666666666,863.6666666666666,430.55555555555554,1012.2857142857143,3744.8888888888887,930.8571428571429,7
48285,2022-01-17,1,620.0,843.3333333333334,790.0,1346.6,2710.6666666666665,1187.8,5
48287,2022-01-17,1,408.0,492.0,542.5,859.0,1316.5,1221.6666666666667,3
48291,2022-01-17,1,474.42857142857144,599.5714285714286,570.1428571428571,920.0,2382.0,1698.7142857142858,7
48295,2022-01-17,1,453.0,563.3333333333334,407.6666666666667,878.7142857142857,1910.6666666666667,1132.142857142857,7
48297,2022-01-17,1,547.5555555555555,850.3333333333334,502.55555555555554,1066.5555555555557,3041.4444444444443,1177.5555555555557,9
48298,2022-01-17,1,476.22222222222223,663.8888888888889,727.8888888888889,1137.2222222222222,2337.222222222222,1474.4444444444443,9
48300,2022-01-17,1,398.0,468.0,385.7142857142857,813.0,2170.8571428571427,1327.875,8
48303,2022-01-17,1,590.2222222222222,1044.111111111111,544.2222222222222,1447.3333333333333,4499.333333333333,1307.6666666666667,9
48304,2022-01-17,1,464.77777777777777,784.4444444444445,391.55555555555554,1368.7777777777778,3935.4444444444443,1521.7777777777778,9
48319,2022-01-17,1,278.3333333333333,449.1111111111111,146.22222222222223,774.6666666666666,3171.1111111111113,1395.5555555555557,9
48320,2022-01-17,1,525.75,607.5,520.25,1137.6666666666667,2055.5,1494.6666666666667,6
48356,2022-01-17,1,526.25,630.75,562.5,1113.0,2083.5,1249.0,6
48357,2022-01-17,1,526.25,630.75,562.5,1113.0,2083.5,1249.0,6
48393,2022-01-17,1,439.2,574.0,509.4,972.0,1911.0,1470.75,8
48398,2022-01-17,1,466.3333333333333,681.1111111111111,594.2222222222222,1118.7777777777778,2180.777777777778,1559.4444444444443,9
48404,2022-01-17,1,519.2222222222222,801.3333333333334,550.0,1289.3333333333333,3179.3333333333335,1490.888888888889,9
48407,2022-01-17,1,503.22222222222223,693.4444444444445,615.0,1145.2222222222222,2353.6666666666665,1548.4444444444443,9
48408,2022-01-17,1,480.22222222222223,702.7777777777778,470.3333333333333,1108.7777777777778,2607.4444444444443,1432.111111111111,9
48409,2022-01-17,1,473.1111111111111,795.5555555555555,404.77777777777777,1312.888888888889,3896.4444444444443,1336.2222222222222,9
48410,2022-01-17,1,453.0,618.5,626.0,1068.5,2151.0,1707.5,2
48412,2022-01-17,1,457.6666666666667,679.1111111111111,506.55555555555554,1120.4444444444443,2333.222222222222,1396.7777777777778,9
48413,2022-01-17,1,472.77777777777777,765.7777777777778,461.44444444444446,1131.3333333333333,2895.0,1330.5555555555557,9
48433,2022-01-17,1,504.1111111111111,793.3333333333334,372.22222222222223,1368.0,4488.333333333333,1323.7777777777778,9
48434,2022-01-17,1,429.1111111111111,661.4444444444445,517.7777777777778,1118.3333333333333,2962.777777777778,1634.888888888889,9
48435,2022-01-17,1,410.14285714285717,564.4285714285714,468.14285714285717,936.3333333333334,1905.7142857142858,1245.1666666666667,6
48437,2022-01-17,1,313.77777777777777,523.7777777777778,220.11111111111111,922.0,4172.555555555556,1482.888888888889,9
48438,2022-01-17,1,550.4444444444445,859.4444444444445,556.3333333333334,1305.7777777777778,3062.222222222222,1573.7777777777778,9
48439,2022-01-17,1,428.1111111111111,745.3333333333334,379.22222222222223,1178.4444444444443,3682.0,1348.2222222222222,9
48440,2022-01-17,1,468.6666666666667,799.4444444444445,378.55555555555554,1266.4444444444443,4356.111111111111,1386.2222222222222,9
48441,2022-01-17,1,495.1111111111111,712.4444444444445,402.8888888888889,1072.0,2827.777777777778,1386.2222222222222,9
48442,2022-01-17,1,350.1111111111111,537.5555555555555,313.44444444444446,917.0,2845.6666666666665,1252.0,9
48451,2022-01-17,1,576.4444444444445,922.6666666666666,508.6666666666667,1480.111111111111,3491.0,1275.111111111111,9
48453,2022-01-17,1,413.3333333333333,617.1111111111111,343.22222222222223,996.6666666666666,3518.6666666666665,1230.4444444444443,9
48455,2022-01-17,1,290.77777777777777,500.77777777777777,274.77777777777777,977.4444444444445,4130.888888888889,1622.5555555555557,9
48456,2022-01-17,1,383.77777777777777,644.2222222222222,424.55555555555554,1219.7777777777778,2935.5555555555557,1575.7777777777778,9
48457,2022-01-17,1,475.44444444444446,714.5555555555555,526.1111111111111,1224.4444444444443,2969.4444444444443,1679.2222222222222,9
48458,2022-01-17,1,327.0,437.1111111111111,260.1111111111111,675.2222222222222,2132.0,889.4444444444445,9
48460,2022-01-17,1,440.6666666666667,703.2222222222222,312.3333333333333,1268.5555555555557,4555.555555555556,1277.0,9
48461,2022-01-17,1,376.1111111111111,671.1111111111111,390.3333333333333,1259.5555555555557,3531.222222222222,1718.5555555555557,9
48464,2022-01-17,1,491.77777777777777,770.7777777777778,394.44444444444446,1355.2222222222222,4886.666666666667,1105.3333333333333,9
