pid,date,dekad,B04,B08,B05,B11
1300,2025-01-02,0,531.1111111111111,3004.8888888888887,1373.6666666666667,1561.2222222222222
1301,2025-01-02,0,210.0,4792.0,978.4444444444445,1578.6666666666667
1302,2025-01-02,0,210.0,4792.0,978.4444444444445,1578.6666666666667
1303,2025-01-02,0,548.8888888888889,2296.222222222222,1081.0,1401.4444444444443
1304,2025-01-02,0,548.8888888888889,2296.222222222222,1081.0,1401.4444444444443
1319,2025-01-02,0,836.5555555555555,2694.0,1273.6666666666667,1685.111111111111
1320,2025-01-02,0,909.3333333333334,1191.7777777777778,1012.8888888888889,1359.3333333333333
1321,2025-01-02,0,412.3333333333333,2811.777777777778,1180.7777777777778,923.7777777777778
1322,2025-01-02,0,586.1111111111111,2852.6666666666665,1033.7777777777778,1390.0
1323,2025-01-02,0,865.7777777777778,3481.3333333333335,1741.6666666666667,2326.8888888888887
1324,2025-01-02,0,996.5555555555555,2080.8888888888887,1336.4444444444443,1897.7777777777778
1325,2025-01-02,0,602.8888888888889,2215.777777777778,1050.0,1692.0
1326,2025-01-02,0,939.0,1398.888888888889,1087.7777777777778,1607.111111111111
1327,2025-01-02,0,391.22222222222223,3184.4444444444443,1137.3333333333333,1404.111111111111
1328,2025-01-02,0,710.3333333333334,2188.6666666666665,1134.6666666666667,2002.5555555555557
1329,2025-01-02,0,724.8888888888889,2513.1111111111113,1150.2222222222222,1918.6666666666667
1330,2025-01-02,0,946.2222222222222,2974.0,1666.2222222222222,1953.7777777777778
1331,2025-01-02,0,618.4444444444445,2781.1111111111113,1254.7777777777778,1609.5555555555557
1332,2025-01-02,0,1047.5555555555557,1648.888888888889,1273.4444444444443,1336.2222222222222
1333,2025-01-02,0,516.3333333333334,4236.0,1562.2222222222222,1266.2222222222222
1334,2025-01-02,0,744.4444444444445,2630.222222222222,1101.2222222222222,1371.7777777777778
1335,2025-01-02,0,563.0,2132.222222222222,1062.0,1448.6666666666667
1336,2025-01-02,0,502.3333333333333,3099.5555555555557,1285.3333333333333,1239.7777777777778
1337,2025-01-02,0,675.7777777777778,2979.5555555555557,1350.3333333333333,1640.2222222222222
1353,2025-01-02,0,769.1111111111111,2449.777777777778,1254.6666666666667,1521.3333333333333
1358,2025-01-02,0,429.55555555555554,2410.6666666666665,873.4444444444445,1392.5555555555557
1362,2025-01-02,0,709.0,2286.4444444444443,1278.888888888889,1654.888888888889
1363,2025-01-02,0,448.44444444444446,3908.0,1447.7777777777778,1597.2222222222222
1365,2025-01-02,0,1035.7777777777778,1795.7777777777778,1323.2222222222222,1585.2222222222222
1366,2025-01-02,0,853.5555555555555,1599.5555555555557,1162.5555555555557,1374.4444444444443
1368,2025-01-02,0,805.0,1476.6666666666667,1090.888888888889,1370.0
1369,2025-01-02,0,915.5555555555555,1857.3333333333333,1312.888888888889,1676.888888888889
1370,2025-01-02,0,718.4444444444445,1251.3333333333333,960.6666666666666,1158.4444444444443
1371,2025-01-02,0,748.3333333333334,1340.0,951.7777777777778,1228.5555555555557
1373,2025-01-02,0,139.22222222222223,722.7777777777778,344.55555555555554,312.6666666666667
1374,2025-01-02,0,582.0,1336.3333333333333,959.8888888888889,1290.4444444444443
1376,2025-01-02,0,440.0,1298.888888888889,673.6666666666666,832.3333333333334
1377,2025-01-02,0,614.6666666666666,1337.7777777777778,852.4444444444445,1433.5555555555557
1378,2025-01-02,0,614.6666666666666,1337.7777777777778,852.4444444444445,1433.5555555555557
1379,2025-01-02,0,687.4444444444445,2406.0,1122.7777777777778,1343.6666666666667
1380,2025-01-02,0,498.8888888888889,2227.1111111111113,958.6666666666666,1437.3333333333333
1382,2025-01-02,0,402.3333333333333,3777.3333333333335,1331.2222222222222,1507.5555555555557
1383,2025-01-02,0,611.3333333333334,1946.6666666666667,1086.888888888889,1480.4444444444443
1605,2025-01-02,0,281.22222222222223,3393.777777777778,992.8888888888889,999.7777777777778
1633,2025-01-02,0,877.7777777777778,1638.2222222222222,1017.2222222222222,1747.6666666666667
1672,2025-01-02,0,1062.7777777777778,1954.4444444444443,1210.0,1582.5555555555557
1684,2025-01-02,0,637.1111111111111,1338.4444444444443,960.2222222222222,1158.888888888889
1699,2025-01-02,0,639.6666666666666,1841.7777777777778,1047.3333333333333,1381.111111111111
1734,2025-01-02,0,788.3333333333334,1615.5555555555557,1095.6666666666667,1447.888888888889
1738,2025-01-02,0,899.2222222222222,2179.1111111111113,1394.6666666666667,1759.2222222222222
1758,2025-01-02,0,718.5555555555555,1700.0,939.2222222222222,1187.0
1789,2025-01-02,0,241.77777777777777,4154.222222222223,969.7777777777778,1538.111111111111
1790,2025-01-02,0,241.77777777777777,4154.222222222223,969.7777777777778,1538.111111111111
1801,2025-01-02,0,558.3333333333334,1982.888888888889,1022.7777777777778,1391.888888888889
1856,2025-01-02,0,707.0,2695.777777777778,1256.6666666666667,1708.2222222222222
1858,2025-01-02,0,236.77777777777777,4582.666666666667,878.4444444444445,1413.6666666666667
1859,2025-01-02,0,432.44444444444446,3163.5555555555557,1212.7777777777778,1466.888888888889
1860,2025-01-02,0,476.55555555555554,3489.777777777778,1148.4444444444443,1392.5555555555557
1861,2025-01-02,0,301.22222222222223,5507.111111111111,1125.888888888889,1684.6666666666667
1864,2025-01-02,0,425.44444444444446,2648.4444444444443,1055.4444444444443,1340.5555555555557
1865,2025-01-02,0,443.44444444444446,2910.8888888888887,1197.111111111111,1405.888888888889
1872,2025-01-02,0,245.66666666666666,3953.777777777778,912.4444444444445,1257.5555555555557
1873,2025-01-02,0,245.66666666666666,3953.777777777778,912.4444444444445,1257.5555555555557
1886,2025-01-02,0,1271.111111111111,1956.4444444444443,1544.3333333333333,2077.0
1901,2025-01-02,0,286.1111111111111,5324.888888888889,1159.888888888889,1186.888888888889
1908,2025-01-02,0,132.22222222222223,366.3333333333333,452.8888888888889,701.7777777777778
1956,2025-01-02,0,1062.888888888889,1991.111111111111,1290.6666666666667,2466.8888888888887
