pid,z_seed1,z_seed2,z_seed3,z_seed4,z_seed5,z_seed42,z_seed100,times_flagged,mean_z,crop,lat,lng
1470,6.601492673618931,5.093215136068131,5.371760743764683,5.342937281090014,6.684877200361003,6.0248122510255095,7.936114180544487,7,6.150744209496108,Spring Barley,52.50777662789963,-6.689866642359528
3857,6.305690024093113,5.65914452404363,6.581268105225936,5.080091927513425,3.7261162668561827,8.106110104000848,7.50727877578539,7,6.137957103931218,Winter Wheat,52.81664664912354,-6.834216797913352
3708,13.23313114131014,4.969043310285299,5.147765406378482,5.118098433161016,4.921728619289156,4.817867112491157,4.7092541610656395,7,6.130984026282984,Spring Oats,52.85966313410945,-6.925711792781404
783,5.483643061588183,6.5557784399192744,16.078602227587403,4.146766929982027,2.130553082597258,4.698848620598242,3.3514028620512875,6,6.0636564606176675,Winter Wheat,52.45327410462209,-7.000884302423471
3291,14.57371676397313,4.241874742984192,3.4768032297108045,6.41892651009276,5.544962538032448,3.2317550739316023,4.746468910930113,7,6.033501109950721,Winter Wheat,52.75161520829579,-6.655504210038121
2124,3.3443693379593817,6.224654942415147,3.2693930663835005,14.642124076859062,3.99279035732018,5.804725472513319,4.396655966362913,7,5.953530459973358,Winter Wheat,52.60823405943737,-7.080627172502449
3376,9.216083728203852,3.657071834651841,5.5553161085414615,6.384280698068872,7.2724205633978904,6.933482222714608,2.4177251831065236,6,5.9194829055264355,Winter Barley,52.7288883726868,-6.584883349704747
3768,5.209043104537797,7.931915926432244,5.296396577900333,8.300942882428727,5.6737405085355785,4.409632759768504,4.58710724497609,7,5.915539857797039,Spring Barley,52.90206060807915,-6.830898571376413
564,5.0226254973313065,6.053795426519565,5.8618841178856504,7.95574617843661,5.548733221134765,4.700864282987411,5.536209607484745,7,5.811408333111436,Spring Barley,52.397048600459,-6.455894525992631
1553,10.15764652998875,7.943540559200922,6.541741813498145,7.933889534428988,2.8352857210524522,1.682550651700221,2.950604134626701,6,5.720751277785168,Beans,52.54567134841908,-6.676920727558161
1964,4.457386029173345,6.415800900054432,5.206752435088508,5.581948600775675,6.075666598549123,6.180229575330596,5.939796843626046,7,5.6939401403711045,Spring Barley,52.51560340628132,-6.365494653370998
1408,6.506448551123822,4.133273106584727,5.344784157263626,4.406374539456894,8.990930736785362,4.9582854131920095,5.483160860211184,7,5.689036766373946,Spring Barley,52.51597978985486,-7.082031126812892
4632,4.6877431768711535,7.076617241520026,4.079816093307183,8.454324672286052,3.598997143649388,5.687073858647744,6.129515820560608,7,5.6734411438345935,Spring Barley,52.90355182237555,-6.8369576165997605
4731,5.93251774442427,6.314391329994528,5.177464731166147,5.455735718674604,5.210436435755299,6.3546679056324455,4.8460083294793765,7,5.613031742160952,Winter Barley,52.96258637390815,-6.85128152217653
3127,6.7893462847654575,3.4601848249015714,9.357426641958268,3.466241604240741,6.410600271260886,4.09556081436127,5.540533208371226,7,5.588556235694203,Spring Barley,52.76508609116291,-6.795082606500565
1599,15.776687918055423,3.812237320592385,3.3778093009076406,3.6450757308800847,3.503299012540775,5.028354394548771,3.7521901455373015,7,5.556521974723196,Winter Barley,52.53966664766472,-6.569948308405382
831,8.013293130945756,4.276891335372227,6.063167019646932,5.812468574395345,4.623133406384732,4.120285657108518,5.981397855845488,7,5.555805282814142,Spring Barley,52.40844846283256,-6.801406194554083
4690,10.045367246138941,4.103300738149764,3.753467311625328,3.534165441001114,10.315332042267546,3.2402157633345956,3.2645066123455635,7,5.465193593551836,Winter Wheat,52.93321713337125,-6.894802522065162
3636,9.475924530314957,2.9325056718492104,7.514279513709631,2.9308367915015725,6.694302877217667,3.214596201907723,5.330808373845579,7,5.441893422906619,Beans,52.82785527583599,-6.963366648940615
1057,12.946767567493149,3.983512890345603,5.941070688972922,3.9000297914584707,4.279335719961108,2.7163773887630924,4.3223996851836155,7,5.441356247453994,Spring Oats,52.435140147472495,-6.539004890444845
2215,2.5321921551338122,7.276737787397988,2.646623720478073,7.894814792291059,2.710955735161577,8.61728911764795,6.384111942638674,7,5.437532178678447,Winter Oats,52.66018111237801,-6.9796716521787125
248,3.3876551462176208,7.220786336805087,3.2078435530946474,8.356095298268585,3.045342087670414,6.223716603041434,6.414258019083559,7,5.407956720597335,Spring Barley,52.3126733649047,-6.89378583091322
2881,7.385698023847029,5.35218678613575,4.424911735091569,6.87845683899717,5.264874765080824,3.635144945604672,4.867675079818243,7,5.401278310653608,Winter Wheat,52.71602952662018,-6.970610559418907
